sequence,x_pri,y_pri,z_pri,rng_pri,x_sec,y_sec,z_sec,rng_sec,pri_coarse,pri_fine,sec_coarse,sec_fine
0,2729,-2136,577,3,1490,-1373,-1556,3,433075831,9619,433075831,8630
0,2732,-2136,576,3,1488,-1373,-1556,3,433075831,9619,433075831,8630
0,2734,-2138,579,3,1486,-1375,-1559,3,433075831,9619,433075831,8630
0,2731,-2137,578,3,1487,-1373,-1558,3,433075831,9619,433075831,8630
0,2729,-2136,579,3,1487,-1372,-1560,3,433075831,9619,433075831,8630
0,2727,-2138,577,3,1486,-1374,-1561,3,433075831,9619,433075831,8630
0,2725,-2139,578,3,1485,-1374,-1560,3,433075831,9619,433075831,8630
0,2725,-2140,578,3,1487,-1374,-1558,3,433075831,9619,433075831,8630
0,2724,-2139,576,3,1488,-1374,-1556,3,433075831,9619,433075831,8630
0,2724,-2140,578,3,1486,-1375,-1558,3,433075831,9619,433075831,8630
0,2724,-2141,580,3,1487,-1375,-1558,3,433075831,9619,433075831,8630
0,2724,-2143,580,3,1487,-1375,-1559,3,433075831,9619,433075831,8630
0,2724,-2142,580,3,1487,-1376,-1558,3,433075831,9619,433075831,8630
0,2724,-2141,581,3,1488,-1375,-1557,3,433075831,9619,433075831,8630
0,2725,-2137,582,3,1487,-1376,-1559,3,433075831,9619,433075831,8630
0,2726,-2139,584,3,1488,-1374,-1559,3,433075831,9619,433075831,8630
