sequence,x_pri,y_pri,z_pri,rng_pri,x_sec,y_sec,z_sec,rng_sec,pri_coarse,pri_fine,sec_coarse,sec_fine
0,7,4,4,0,63276,2345,137,0,411218612,469,411218612,469
0,13,9,9,0,61036,4672,273,0,411218612,469,411218612,469
0,14,9,9,0,61036,4672,272,0,411218612,469,411218612,469
0,14,9,9,0,61036,4672,273,0,411218612,469,411218612,469
0,13,9,9,0,61035,4672,273,0,411218612,469,411218612,469
0,13,9,9,0,61035,4673,274,0,411218612,469,411218612,469
0,13,9,9,0,61035,4673,275,0,411218612,469,411218612,469
0,13,9,9,0,61035,4673,275,0,411218612,469,411218612,469
0,13,9,9,0,61035,4672,276,0,411218612,469,411218612,469
0,13,9,9,0,61035,4672,275,0,411218612,469,411218612,469
0,13,9,9,0,61035,4671,275,0,411218612,469,411218612,469
0,13,9,9,0,61035,4671,274,0,411218612,469,411218612,469
0,14,9,9,0,61035,4671,274,0,411218612,469,411218612,469
0,13,9,9,0,61035,4672,275,0,411218612,469,411218612,469
0,13,9,9,0,61035,4672,275,0,411218612,469,411218612,469
0,13,9,9,0,61035,4672,277,0,411218612,469,411218612,469
0,13,9,9,0,61034,4672,277,0,411218612,469,411218612,469
0,13,9,9,0,61034,4672,278,0,411218612,469,411218612,469
0,14,9,9,0,61034,4671,277,0,411218612,469,411218612,469
0,13,9,9,0,61035,4671,276,0,411218612,469,411218612,469
0,13,9,9,0,61035,4670,276,0,411218612,469,411218612,469
0,13,9,9,0,61035,4671,276,0,411218612,469,411218612,469
0,14,9,9,0,61035,4671,276,0,411218612,469,411218612,469
0,13,9,9,0,61035,4671,277,0,411218612,469,411218612,469
0,14,9,9,0,61035,4671,277,0,411218612,469,411218612,469
0,13,9,9,0,61034,4671,278,0,411218612,469,411218612,469
0,13,9,9,0,61034,4671,277,0,411218612,469,411218612,469
0,13,9,9,0,61034,4671,277,0,411218612,469,411218612,469
0,13,9,9,0,61034,4670,276,0,411218612,469,411218612,469
0,13,9,9,0,61035,4670,275,0,411218612,469,411218612,469
0,13,9,9,0,61036,4670,275,0,411218612,469,411218612,469
0,13,9,9,0,61036,4670,275,0,411218612,469,411218612,469
99,13,9,9,0,61036,4671,275,0,411218616,464,411218616,464
