sequence,x_pri,y_pri,z_pri,rng_pri,x_sec,y_sec,z_sec,rng_sec,pri_coarse,pri_fine,sec_coarse,sec_fine
0,2729,-2136,577,3,1490,-1373,-1556,3,433075831,9619,433075831,8630
0,2732,-2136,576,3,,,,433075831,9619,,
1,2734,-2138,579,3,1486,-1375,-1559,3,433075832,9619,433075832,8630
1,2731,-2137,578,3,,,,,433075832,9619,,
