sequence,x_pri,y_pri,z_pri,rng_pri,x_sec,y_sec,z_sec,rng_sec,pri_coarse,pri_fine,sec_coarse,sec_fine
95,6609,112,-26525,2,-6610,112,26524,2,445618927,957,445618927,957
99,-141,112,-26551,2,140,112,26550,2,445618931,959,445618931,959
103,-6891,112,-26577,2,6890,112,26576,2,445618935,961,445618935,961
107,-13641,112,-26604,2,13640,112,26603,2,445618939,963,445618939,963
111,-20391,112,-26630,2,20390,112,26629,2,445618943,965,445618943,965
115,-27141,112,-26657,2,27140,112,26656,2,445618947,966,445618947,966
119,23709,112,-26683,2,-23710,112,26682,2,445618951,968,445618951,968
123,16959,112,-26709,2,-16960,112,26708,2,445618955,970,445618955,970
127,10209,112,-26736,2,-10210,112,26735,2,445618959,972,445618959,972
131,3459,112,-26762,2,-3460,112,26761,2,445618963,974,445618963,974
